time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000016
0.010000,0.000000,0.000000,0.000002,0.000017
0.015000,0.000000,0.000000,0.000005,0.000020
0.020000,0.000000,0.000000,0.000012,0.000021
0.025000,0.000000,0.000000,0.000018,0.000029
0.030000,0.000000,0.000001,0.000019,0.000034
0.035000,0.000000,0.000001,0.000010,0.000031
0.040000,0.000000,0.000001,-0.000016,0.000018
0.045000,0.000000,0.000001,-0.000061,-0.000025
0.050000,-0.000000,0.000001,-0.000123,-0.000068
0.055000,-0.000001,0.000000,-0.000201,-0.000152
0.060000,-0.000003,-0.000000,-0.000290,-0.000218
0.065000,-0.000004,-0.000002,-0.000386,-0.000335
0.070000,-0.000006,-0.000003,-0.000483,-0.000414
0.075000,-0.000009,-0.000006,-0.000573,-0.000530
0.080000,-0.000012,-0.000008,-0.000653,-0.000577
0.085000,-0.000016,-0.000012,-0.000720,-0.000650
0.090000,-0.000020,-0.000014,-0.000776,-0.000671
0.095000,-0.000024,-0.000018,-0.000824,-0.000710
0.100000,-0.000028,-0.000021,-0.000868,-0.000742
0.105000,-0.000032,0.003504,-0.000908,0.100649
0.110000,-0.000037,0.003907,-0.000946,0.100605
0.115000,-0.000042,0.004511,-0.000981,0.100563
0.120000,-0.000047,0.004913,-0.001012,0.100538
0.125000,-0.000052,0.005516,-0.001038,0.100504
0.130000,-0.000057,0.005918,-0.001060,0.100484
0.135000,-0.000063,0.006521,-0.001077,0.100457
0.140000,-0.000068,0.006923,-0.001087,0.100444
0.145000,-0.000073,0.007525,-0.001090,0.100432
0.150000,-0.000079,0.007927,-0.001087,0.100444
0.155000,-0.000084,0.008530,-0.001076,0.100453
0.160000,-0.000090,0.008932,-0.001058,0.100497
0.165000,-0.000095,0.009535,-0.001032,0.100531
0.170000,-0.000100,0.009937,-0.000997,0.100545
0.175000,-0.000105,0.010540,-0.000951,0.100596
0.180000,-0.000109,0.010942,-0.000900,0.100631
0.185000,-0.000114,0.011546,-0.000847,0.100694
0.190000,-0.000118,0.011949,-0.000796,0.100735
0.195000,-0.000122,0.012554,-0.000744,0.100794
0.200000,-0.000125,0.012957,-0.000694,0.100833
0.205000,-0.000128,0.002046,-0.000648,0.061552
0.210000,-0.000132,0.002292,-0.000609,0.061585
0.215000,-0.000134,0.002662,-0.000579,0.061620
0.220000,-0.000137,0.002908,-0.000558,0.061634
0.225000,-0.000140,0.003278,-0.000546,0.061646
0.230000,-0.000143,0.003525,-0.000543,0.061656
0.235000,-0.000145,0.003894,-0.000548,0.061651
0.240000,-0.000148,0.004141,-0.000558,0.061630
0.245000,-0.000151,0.004511,-0.000572,0.061610
0.250000,-0.000154,0.004758,-0.000586,0.061627
0.255000,-0.000157,0.005127,-0.000595,0.061613
0.260000,-0.000160,0.005374,-0.000595,0.061617
0.265000,-0.000163,0.005744,-0.000584,0.061624
0.270000,-0.000166,0.005990,-0.000563,0.061635
0.275000,-0.000168,0.006360,-0.000535,0.061664
0.280000,-0.000171,0.006606,-0.000502,0.061690
0.285000,-0.000173,0.006977,-0.000465,0.061733
0.290000,-0.000176,0.007224,-0.000432,0.061762
0.295000,-0.000178,0.007594,-0.000407,0.061798
0.300000,-0.000180,0.007842,-0.000392,0.061815
0.305000,-0.000182,-0.004183,-0.000387,0.030483
0.310000,-0.000184,-0.004061,-0.000390,0.030480
0.314999,-0.000186,-0.003878,-0.000398,0.030473
0.319999,-0.000188,-0.003756,-0.000414,0.030462
0.324999,-0.000190,-0.003574,-0.000437,0.030438
0.329999,-0.000192,-0.003452,-0.000467,0.030425
0.334999,-0.000194,-0.003269,-0.000502,0.030386
0.339999,-0.000197,-0.003148,-0.000541,0.030388
0.344999,-0.000200,-0.002965,-0.000585,0.030352
0.349999,-0.000203,-0.002844,-0.000634,0.030305
0.354999,-0.000206,-0.002662,-0.000686,0.030258
