time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000001,0.300031
0.010000,0.000002,0.300059
0.015000,0.000002,0.300109
0.020000,0.000003,0.300150
0.025000,0.000002,0.300221
0.030000,0.000002,0.300276
0.035000,0.000001,0.300370
0.040000,0.000001,0.300440
0.045000,0.000001,0.300558
0.050000,0.000001,0.300645
0.055000,0.000002,0.300789
0.060000,0.000002,0.300893
0.065000,0.000002,0.301064
0.070000,0.000002,0.301187
0.075000,0.000003,0.301387
0.080000,0.000003,0.301529
0.085000,0.000004,0.301759
0.090000,0.000004,0.301923
0.095000,0.000005,0.302185
0.100000,0.000005,0.302370
0.105000,0.011866,0.301907
0.110000,0.012107,0.302039
0.115000,0.012491,0.302248
0.120000,0.012762,0.302394
0.125000,0.013187,0.302626
0.130000,0.013483,0.302788
0.135000,0.013944,0.303045
0.140000,0.014261,0.303224
0.145000,0.014751,0.303506
0.150000,0.015086,0.303703
0.155000,0.015600,0.304013
0.160000,0.015951,0.304229
0.165000,0.016486,0.304568
0.170000,0.016849,0.304803
0.175000,0.017401,0.305173
0.180000,0.017775,0.305429
0.185000,0.018342,0.305830
0.190000,0.018725,0.306109
0.195000,0.019305,0.306543
0.200000,0.019695,0.306844
0.205000,0.010753,0.305336
0.210000,0.011205,0.305533
0.215000,0.011889,0.305840
0.220000,0.012347,0.306052
0.225000,0.013038,0.306382
0.230000,0.013500,0.306610
0.235000,0.014195,0.306965
0.240000,0.014660,0.307210
0.245000,0.015361,0.307591
0.250000,0.015829,0.307854
0.255000,0.016533,0.308263
0.260000,0.017004,0.308545
0.265000,0.017710,0.308983
0.270000,0.018182,0.309285
0.275000,0.018891,0.309753
0.280000,0.019364,0.310076
0.285000,0.020074,0.310576
0.290000,0.020548,0.310920
0.295000,0.021260,0.311453
0.300000,0.021736,0.311820
0.305000,0.029789,0.309432
0.310000,0.030383,0.309666
0.314999,0.031278,0.310029
0.319999,0.031876,0.310277
0.324999,0.032776,0.310663
0.329999,0.033377,0.310927
0.334999,0.034282,0.311337
0.339999,0.034887,0.311618
0.344999,0.035797,0.312054
0.349999,0.036405,0.312353
0.354999,0.037318,0.312816
0.359999,0.037928,0.313134
0.364999,0.038845,0.313625
0.369999,0.039457,0.313963
0.374999,0.040376,0.314484
0.379999,0.040989,0.314842
0.384999,0.041910,0.315395
0.389999,0.042525,0.315774
0.394998,0.043449,0.316360
0.399998,0.044066,0.316761
0.404998,0.040240,0.313797
0.409998,0.040821,0.314051
0.414998,0.041692,0.314442
0.419998,0.042273,0.314710
0.424998,0.043146,0.315124
0.429998,0.043729,0.315408
0.434998,0.044605,0.315846
0.439998,0.045190,0.316146
0.444998,0.046069,0.316609
0.449998,0.046655,0.316927
0.454998,0.047536,0.317417
0.459998,0.048125,0.317753
0.464998,0.049009,0.318272
0.469997,0.049600,0.318627
0.474997,0.050487,0.319175
0.479997,0.051080,0.319551
0.484997,0.051969,0.320129
0.489997,0.052563,0.320526
